"We're sorry but an error occured trying to create your order. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in.","We're sorry but an error occured trying to create your order. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in."
"An error occured during the payment process. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in.","An error occured during the payment process. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in."
"Your payment was cancelled upon your request. You can still place your order again later.'","'Your payment was cancelled upon your request. You can still place your order again later."
"Redirecting to Docdata...","Redirecting to Docdata..."
"Shipping","Shipping"
"Shipping cost","Shipping cost"
"Discount","Discount"
"Online total refunded amount updated to %s.","Online total refunded amount updated to %s."
"Requested refund of %s at Docdata backoffice.","Requested refund of %s at Docdata backoffice."
"Canceled through Magento backoffice.","Canceled through Magento backoffice."
"AfterPay servicekosten","AfterPay servicekosten"
"AfterPay servicekosten (Excl.BTW)","AfterPay servicekosten (Excl.BTW)"
"AfterPay servicekosten (Incl.BTW)","AfterPay servicekosten (Incl.BTW)"
"Please fill these extra values to use the AfterPay payment method","Please fill these extra values to use the AfterPay payment method"
"Shopper","Shopper"
"Phone number","Phone number"
"Billing address","Billing address"
"Street","Street"
"House number","House number"
"Addition","Addition"
"Shipping address","Shipping address"
"Select your bank","Select your bank"
"--Please Select--","--Please Select--"
"New order payment created at Docdata.","New order payment created at Docdata."
"New pending capture found in Docdata open payments.","New pending capture found in Docdata open payments."
"New pending refund found in the open payments. Assuming manual refund done in Docdata backoffice.","New pending refund found in the open payments. Assuming manual refund done in Docdata backoffice."
"Canceled because no non-canceled payments could be found.","Canceled because no non-canceled payments could be found."
"Fully paid according to Docdata approximate totals.","Fully paid according to Docdata approximate totals."
"Partially paid according to Docdata approximate totals.","Partially paid according to Docdata approximate totals."
"Fully refunded according to Docdata approximate totals.","Fully refunded according to Docdata approximate totals."
"Partially refunded according to Docdata approximate totals.","Partially refunded according to Docdata approximate totals."
"Afterpay fee","Afterpay fee"
"Comaxx_Docdata::Docdata Payment Id","Docdata Payment Id"
"Mage_Adminhtml::Docdata Payment Id : ","Docdata Payment Id : "
"Mage_Adminhtml::Docdata Payment Order Key : ","Docdata Payment Order Key : "
"Comaxx_Docdata::General settings","General settings"
"Comaxx_Docdata::Plugin Version","Plugin Version"
"Comaxx_Docdata::Enabled","Enabled"
"Comaxx_Docdata::Enables or disables the plugin.","Enables or disables the plugin."
"Comaxx_Docdata::Module Mode","Module Mode"
"Comaxx_Docdata::Test Mode","Test Mode"
"Comaxx_Docdata::Production Mode","Production Mode"
"Comaxx_Docdata::Sets the plugin into a specific mode causing test or production merchant settings to be used along with the respective Docdata environment.","Sets the plugin into a specific mode causing test or production merchant settings to be used along with the respective Docdata environment."
"Comaxx_Docdata::Web menu type","Web menu type"
"Comaxx_Docdata::Show only the Docdata Webmenu option","Show only the Docdata Webmenu option"
"Comaxx_Docdata::Go directly to a selected payment method in the Docdata Webmenu","Go directly to a selected payment method in the Docdata Webmenu"
"Comaxx_Docdata::Showing the Webmenu leaves the choice of payment method up to be decided in the Docdata Webmenu. The other choice means customers get to choose in the checkout process, but they may always switch method once they're in the Docdata Webmenu.","Showing the Webmenu leaves the choice of payment method up to be decided in the Docdata Webmenu. The other choice means customers get to choose in the checkout process, but they may always switch method once they're in the Docdata Webmenu."
"Comaxx_Docdata::Web menu CSS profile","Web menu CSS profile"
"Comaxx_Docdata::CSS profile that will be used to display the WebMenu page","CSS profile that will be used to display the WebMenu page"
"Comaxx_Docdata::Docdata payment method title","Docdata payment method title"
"Comaxx_Docdata::When the setting 'Web menu type' has the value 'Display the payment menu' the checkout will show this generic payment method. This title is the display name.","When the setting 'Web menu type' has the value 'Display the payment menu' the checkout will show this generic payment method. This title is the display name."
"Comaxx_Docdata::Confidence level","Confidence level"
"Comaxx_Docdata::Authorization","Authorization"
"Comaxx_Docdata::Capture","Capture"
"Comaxx_Docdata::Determines when the order is seen as paid. On 'Authorization' the order will be set to paid on an authorized payment. Set on 'Capture' to only set order to paid when all money transfers are fully completed.","Determines when the order is seen as paid. On 'Authorization' the order will be set to paid on an authorized payment. Set on 'Capture' to only set order to paid when all money transfers are fully completed."
"Comaxx_Docdata::Merchant Account","Merchant Account"
"Comaxx_Docdata::Merchant Username","Merchant Username"
"Comaxx_Docdata::Username for your Docdata merchant <u>production</u> account login.","Username for your Docdata merchant <u>production</u> account login."
"Comaxx_Docdata::Merchant Password","Merchant Password"
"Comaxx_Docdata::Password for your Docdata merchant <u>production</u> account login.","Password for your Docdata merchant <u>production</u> account login."
"Comaxx_Docdata::Merchant Test Username","Merchant Test Username"
"Comaxx_Docdata::Username for your Docdata merchant <u>test</u> account login.","Username for your Docdata merchant <u>test</u> account login."
"Comaxx_Docdata::Merchant Test Password","Merchant Test Password"
"Comaxx_Docdata::Password for your Docdata merchant <u>test</u> account login.","Password for your Docdata merchant <u>test</u> account login."
"Comaxx_Docdata::Payment Preferences","Payment Preferences"
"Comaxx_Docdata::Payment profile","Payment profile"
"Comaxx_Docdata::Profile that is used to select the payment methods that can be used to pay this order.","Profile that is used to select the payment methods that can be used to pay this order."
"Comaxx_Docdata::Number of days to pay","Number of days to pay"
"Comaxx_Docdata::Number of days the customer has to perform a payment.","Number of days the customer has to perform a payment."
"Comaxx_Docdata::Days Exhortation 1","Days Exhortation 1"
"Comaxx_Docdata::Number of days before the first payment reminder is sent.","Number of days before the first payment reminder is sent."
"Comaxx_Docdata::Profile Exhortation 1","Profile Exhortation 1"
"Comaxx_Docdata::Profile that is used for the reminder of exhortation period 1.","Profile that is used for the reminder of exhortation period 1."
"Comaxx_Docdata::Days Exhortation 2","Days Exhortation 2"
"Comaxx_Docdata::Number of days before the second payment reminder is sent.","Number of days before the second payment reminder is sent."
"Comaxx_Docdata::Profile Exhortation 2","Profile Exhortation 2"
"Comaxx_Docdata::Profile that is used for the reminder of exhortation period 2.","Profile that is used for the reminder of exhortation period 2."
"Comaxx_Docdata::Custom Statuses","Custom Statuses"
"Comaxx_Docdata::New order status","New order status"
"Mage_Adminhtml::-- Please Select --","-- Please Select --"
"Comaxx_Docdata::Determines a custom status to be used for a new order. Default use is 'pending'.","Determines a custom status to be used for a new order. Default use is 'pending'."
"Comaxx_Docdata::Pending payment status","Pending payment status"
"Comaxx_Docdata::Determines a custom status to be used for an order that has selected a payment method but is not yet (fully) paid. Default use is 'pending payment'.","Determines a custom status to be used for an order that has selected a payment method but is not yet (fully) paid. Default use is 'pending payment'."
"Comaxx_Docdata::Pending refund status","Pending refund status"
"Comaxx_Docdata::Determines a custom status to be used for an order for which a refund has been requested but not yet (fully) refunded. Default use is 'pending payment'.","Determines a custom status to be used for an order for which a refund has been requested but not yet (fully) refunded. Default use is 'pending payment'."
"Comaxx_Docdata::Paid status","Paid status"
"Comaxx_Docdata::Determines a custom status to be used for a paid order. Default use is 'payment review'.","Determines a custom status to be used for a paid order. Default use is 'payment review'."
"Comaxx_Docdata::Refunded status","Refunded status"
"Comaxx_Docdata::Determines a custom status to be used for a refunded order. Default use is 'payment review'.","Determines a custom status to be used for a refunded order. Default use is 'payment review'."
"Comaxx_Docdata::Charged back status","Charged back status"
"Comaxx_Docdata::Used when a payment is charged back by the financial institution. Default use is 'payment review'.","Used when a payment is charged back by the financial institution. Default use is 'payment review'."
"Comaxx_Docdata::Canceled status","Canceled status"
"Comaxx_Docdata::Determines a custom status to be used for a canceled order. Default use is 'canceled'.","Determines a custom status to be used for a canceled order. Default use is 'canceled'."
"Comaxx_Docdata::On hold status","On hold status"
"Comaxx_Docdata::Used as an error status. When manual action is required this status is used. For example when Docdata updates are inconsistent with what Magento expects.","Used as an error status. When manual action is required this status is used. For example when Docdata updates are inconsistent with what Magento expects."
"Comaxx_Docdata::AfterPay","AfterPay"
"Comaxx_Docdata::Title","Title"
"Comaxx_Docdata::Used on the front-end as the name of the method.","Used on the front-end as the name of the method."
"Comaxx_Docdata::Display Checkout fields","Display Checkout fields"
"Comaxx_Docdata::When set to No the fields phonenumber/street/housenr/housenr addition won't be shown by default.","When set to No the fields phonenumber/street/housenr/housenr addition won't be shown by default."
"Comaxx_Docdata::Payment method name","Payment method name"
"Comaxx_Docdata::As specified in the docdata backend.","As specified in the docdata backend."
"Comaxx_Docdata::Added costs","Added costs"
"Comaxx_Docdata::Amount to be added to each order for using Afterpay","Amount to be added to each order for using Afterpay"
"Comaxx_Docdata::Added costs includes tax","Added costs includes tax"
"Comaxx_Docdata::Display added cost as","Display added cost as"
"Comaxx_Docdata::Tax Class for added costs","Tax Class for added costs"
"Comaxx_Docdata::American Express","American Express"
"Comaxx_Docdata::Bank Transfer","Bank Transfer"
"Comaxx_Docdata::Direct Debit","Direct Debit"
"Comaxx_Docdata::DIRECT eBanking","DIRECT eBanking"
"Comaxx_Docdata::ELV","ELV"
"Comaxx_Docdata::Giropay","Giropay"
"Comaxx_Docdata::iDEAL","iDEAL"
"Comaxx_Docdata::KBC PAY Button","KBC PAY Button"
"Comaxx_Docdata::Maestro","Maestro"
"Comaxx_Docdata::Mastercard","Mastercard"
"Comaxx_Docdata::MrCash","MrCash"
"Comaxx_Docdata::PayPal","PayPal"
"Comaxx_Docdata::Sofortüberweisung","Sofortüberweisung"
"Comaxx_Docdata::Visa","Visa"
"Comaxx_Docdata::Klarna Invoice","Klarna Invoice"
"Comaxx_Docdata::Klarna Account","Klarna Account"
"Comaxx_Docdata::Amount to be added to each order for using Klarna Invoice","Amount to be added to each order for using Klarna Invoice"
"Comaxx_Docdata::Amount to be added to each order for using Klarna Account","Amount to be added to each order for using Klarna Account"
"Klarna Invoice servicekosten","Klarna Invoice servicekosten"
"Klarna Invoice servicekosten (Excl.BTW)","Klarna Invoice servicekosten (Excl.BTW)"
"Klarna Invoice servicekosten (Incl.BTW)","Klarna Invoice servicekosten (Incl.BTW)"
"Klarna Invoice fee","Klarna Invoice fee"
"Klarna Account servicekosten","Klarna Account servicekosten"
"Klarna Account servicekosten (Excl.BTW)","Klarna Account servicekosten (Excl.BTW)"
"Klarna Account servicekosten (Incl.BTW)","Klarna Account servicekosten (Incl.BTW)"
"Klarna Account fee","Klarna Account fee"
"The email address you tried to use was not accepted by our payment gateway, please choose another while placing the order again.","The email address you tried to use was not accepted by our payment gateway, please choose another while placing the order again."
"The email address you tried to use is too long for our payment gateway, please select a shorter email address when placing the order again.","The email address you tried to use is too long for our payment gateway, please select a shorter email address when placing the order again."
"You still have an open order. You can <a href='%s'>recover your shopping cart</a> or you can <a href='%s'>cancel</a> the order.","You still have an open order. You can <a href='%s'>recover your shopping cart</a> or you can <a href='%s'>cancel</a> the order."
"Order total: ","Order total: "
"Order items: ","Order items: "
"Your payment was cancelled upon your request.","Your payment was cancelled upon your request."