"%s was successfully added to your shopping cart.","%s is  toegevoegd aan uw winkelwagen."
"&laquo; Back to Select Addresses","&laquo; Terug naar adressen"
"&laquo; Back to Billing Information","&laquo; Terug naar betaal-informatie"
"&laquo; Back to Shopping Cart","&laquo; Terug naar winkelwagen"
"* Required Fields","* Verplichte velden"
"Qty","Aantal"
"Display number of items in cart","Aantal artikelen in winkelwagen tonen"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Please agree to all Terms and Conditions before placing the orders.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"Street Address","Adres 2"
"Edit Address","Adres bewerken"
"Select Addresses","Adres selecteren"
"Select Address","Adres selecteren"
"Configurable product image","Afbeelding configureerbaar product"
"Grouped product image","Afbeelding gegroepeerd product"
"Shipping Address","Afleveradres"
"Create Shipping Address","Afleveradres aanmaken"
"Edit Shipping Address","Afleveradres bewerken"
"Checkout","Afrekenen"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"Disable Onepage Checkout","Afrekenen op &eacute:&eacute;n pagina uitschakelen"
"Payment Failed Email Sender","Afzender E-mail over mislukte betaling"
"Checkout Terms and Conditions","Algemene Voorwaarden"
"Terms and Conditions","Algemene Voorwaarden"
"Terms and conditions","Algemene Voorwaarden"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Enable Terms and Conditions","Algemene Voorwaarden inschakelen"
"Other items in your order","Andere artikelen van uw bestelling"
"Remove item","Artikel verwijderen"
"Remove Item","Artikel verwijderen"
"Display item quantities","Artikel-aantallen tonen"
"Items","Artikelen"
"Edit Items","Artikelen bewerken"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"Company","Bedrijf"
"Manage Checkout Terms and Conditions","Beheer Algemene Voorwaarden"
"Display Cart Summary","Beknopte inhoud winkelwagen tonen"
"Review Order - %s","Bestelling  %s bekijken"
"Review Order","Bestelling bekijken"
"Order Success","Bestelling succes"
"Order #","Bestelnummer"
"Checkout method","Bestelwijze"
"Billing Information","Betaalgegevens"
"Billing Information - %s","Betaalgegevens - %s"
"Checkout Options","Betaalopties"
"Payment Method","Betaalwijze"
"Payment method is not defined","Betaalwijze is niet gedefinieerd"
"Payment Information","Betalingsgegevens"
"Checkout Conditions","Betalingsvoorwaarden"
"Confirm Password","Bevstig het wachtwoord"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Loading next step...","Bezig met laden van de volgende stap..."
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Send Payment Failed Email Copy Method","CC-methode van E-mail over mislukte betaling"
"Order Review","Controleer uw bestelling"
"Customer Address is not valid.","Customer Address is not valid."
"Details","Details"
"This condition no longer exists","Deze voorwaarde bestaat niet meer"
"Email Address","E-mailadres"
"Payment Failed Emails","E-mails over mislukte betaling"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Er is <a href=""%s""><strong>1 artikel</strong></a> in uw winkelwagen."
"There is already a customer registered using this email address","Er is al een klant geregistreerd met dit e-mailadres"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"An error occurred in the process of payment","Er is een fout opgetreden tijdens het betalen"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Er zijn <a href=""%s""><strong>%s artikelen</strong></a> in uw winkelwagen."
"Excl. Tax","Excl. BTW"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst (bookmarks), meerdere afleveradressen, tags, reviews, etc."
"Billing Address","Factuuradres"
"Create Billing Address","Factuuradres aanmaken"
"Edit Billing Address","Factuuradres bewerken"
"Use Billing Address","Factuuradres gebruiken"
"Fax","Fax"
"Load customer quote error","Fout bij laden van klant-offerte"
"Error while saving this condition. Please try again later.","Fout tijdens het opslaan van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Error while deleting this condition. Please try again later.","Fout tijdens het verwijderen van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Proceed to Checkout","Ga door naar afrekenen"
"Please <a href=""%s"">continue shopping</a>.","Ga gerust <a href=""%s""> door met winkelen</a>."
"Edit Your Cart","Ga terug naar uw winkelwagen"
"Continue","Ga verder"
"Continue to Review Your Order","Ga verder met het bekijken van uw bestelling"
"Continue Shopping","Ga verder met winkelen"
"Continue to Shipping Information","Ga verder naar afleveradres"
"Continue to Billing Information","Ga verder naar factuuradres"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw selectie, bent u wellicht ook geïnteresseerd in de volgende producten:"
"Quote Lifetime (days)","Geldigheid offerte (dagen)"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"HTML","HTML"
"ID","ID"
"Forgot an Item?","Iets vergeten?"
"Add to Cart","In winkelwagen"
"Incl. Tax","Incl. BTW"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Enabled","Ingeschakeld"
"Content","Inhoud"
"Show Content as","Inhoud tonen als"
"Login","Inloggen"
"Card Verification Number Visual Reference","Kaart bevestigingsnummer visuele referentie"
"Can not add item to shopping cart","Kan artikel niet toevoegen aan winkelwagen"
"Cannot remove item","Kan item niet verwijderen"
"Can not apply coupon code.","Kan kortingscode niet toepassen."
"Can't open overview page","Kan overzicht niet openen"
"Cannot update shopping cart","Kan winkelwagen niet bijwerken"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" target=""_blank"">hier</a> om een kopie van uw orderbevestiging af te drukken."
"Discount Codes","Kortingcodes"
"Cancel Coupon","Kortingsbon annuleren"
"Apply Coupon","Kortingsbon gebruiken"
"Coupon code ""%s"" is not valid.","Kortingscode “%s” is niet geldig."
"Coupon code was canceled successfully.","Kortingscode is geannuleerd."
"Coupon code ""%s"" was applied successfully.","Kortingscode was succesvol toegepast."
"Get a Quote","Kostenopgave tonen"
"Country","Land"
"My Cart Link","Link naar mijn winkelwagen"
"Maximum display Recently added item(s)","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Fast and easy check out","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximale aantal voor verzenden naar verschillende adressen is %s"
"My Account","Mijn account"
"My Cart","Mijn winkelwagen"
"My Cart (%s item)","Mijn winkelwagen (%s artikel)"
"My Cart (%s items)","Mijn winkelwagen (%s artikelen)"
"Condition Name","Naam van voorwaarde"
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Ship to Multiple Addresses","Naar verschillende adressen verzenden"
"New Address","Nieuw adres"
"Add New Address","Nieuw adres toevoegen"
"New Condition","Nieuwe voorwaarde"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Invalid email address ""%s""","Ongeldig e-mailadres ""%s"""
"Invalid data","Ongeldige gegevens"
"Invalid shipping method.","Ongeldige verzendwijze"
"Payment Failed Email Reciever","Ontvanger E-mail over mislukte betaling"
"Save in address book","Opslaan in adresboek"
"osCommerce Orders","osCommerce orders"
"City","Plaats"
"Place Order","Plaats bestelling"
"Zip/Postal Code","Postcode"
"Price","Prijs"
"Unit Price","Prijs per stuk"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Product","Product"
"Product does not exist","Product bestaat niet"
"Product Name","Productnaam"
"State/Province","Provincie"
"Select State/Province...","Provincie selecteren"
"Recently added item(s)","Recent toegevoegd"
"Register to Create an Account","Registreer om een account aan te maken"
"separate by "",""","scheiden met &quot;,&quot;"
"Checkout Section","Sectie Afrekenen"
"Select a shipping address from your address book or enter a new address.","Selecteer een afleveradres uit uw adresboek of voer een nieuw adres in."
"Please select shipping address for applicable items","Selecteer een afleveradres voor de betreffende artikelen a.u.b."
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please select shipping methods for all addresses","Selecteer verzendwijzen voor alle adressen a.u.b."
"Close","Sluiten"
"Some of the products you requested are unavailable","Sommige producten die u hebt gekozen, zijn niet voorradig"
"Some of the products you requested are not available in the desired quantity","Sommige producten die u hebt gekozen, zijn niet voorradig  in deze aantallen"
"Sorry, Onepage Checkout is disabled.","Sorry, afrekenen op &eacute;&eacute;n is uitgeschakeld."
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, u kunt niet afrekenen zonder een account aan te maken. Neemt u gerust contact met ons op."
"Default Billing","Standaard-betaling"
"Default Shipping","Standaard-verzending"
"Status","Status"
"Street Address ","Street Address "
"Subtotal","Subtotaal"
"Cart Subtotal:","Subtotaal winkelwagen:"
"Grand Total:","Te betalen:"
"Text","Tekst"
"Checkbox text","Tekst checkbox"
"Telephone","Telefoon"
"Payment Failed Template","Template mislukte betaling"
"Back","Terug"
"Back to Shipping Information","Terug naar afleveradres"
"Add to Compare","Toon in vergelijking"
"Total","Totaal"
"Update Total","Totaal bijwerken"
"Total for this address","Totaal voor dit adres"
"You have no items in your shopping cart.","U hebt niets in uw winkelwagen."
"Please log in below:","U kunt hieronder inloggen met uw e-mail adres en wachtwoord."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
"Disabled","Uitgeschakeld"
"Your order has been received","Uw bestelling is ontvangen"
"Your order # is: %s","Uw bestelnummer is: %s"
"Your order # is: <a href=""%s"">%s</a>","Uw bestelnummer is: <a href=""%s"">%s</a>"
"Forgot your password?","Uw wachtwoord vergeten?"
"Shopping Cart is Empty","Uw winkelwagen is leeg"
"Send Payment Failed Email Copy To","Van een E-mail over mislukte betaling een CC sturen aan"
"Sales","Verkopen"
"Move to Wishlist","Verplaats naar verlanglijst"
"Remove Product","Verwijder product"
"Remove","Verwijderen"
"Send to","Verzend naar"
"Shipping selection is not applicable","Verzend-selectie is niet van toepassing"
"Shipping to","Verzenden naar"
"Shipping Information","Verzendgegevens"
"Estimate Shipping and Tax","Verzendingkosten en BTW schatten"
"Shipping Method","Verzendwijze"
"Shipping method has not been selected yet","Verzendwijze is nog niet geselecteerd"
"Select Shipping Method","Verzendwijze selecteren"
"Shipping Methods","Verzendwijzen"
"Enter your destination to get a shipping estimate.","Voer een bestemming in om een schatting te krijgen van de verzendkosten"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er een heeft."
"Enter a New Address","Voer een nieuw adres in"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Register and save time!","Voordelen van een account"
"Your Checkout Progress","Voortgang  bestelling"
"Condition was successfully saved","Voorwaarde is opgeslagen"
"Condition was successfully deleted","Voorwaarde is verwijderd"
"Save Condition","Voorwaarde opslaan"
"Delete Condition","Voorwaarde verwijderen"
"Password","Wachtwoord"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel wilt verwijderen uit uw winkelwagen?"
"Edit","Wijzigen"
"Change","Wijzigen"
"Change Billing Address","Wijzigen"
"Shopping Cart","Winkelwagen"
"Update Shopping Cart","Winkelwagen bijwerken"
"After adding a product redirect to shopping cart","Winkelwagen tonen na toevoegen van een product"
"Store View","Winkelzicht"
"Your order number is ","Your order number is "
"Add to Wishlist","Zet op verlanglijst"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
